extension,linguist_language,vscode_language_id
.dsc,Debian Package Control File,
.dsc,DenizenScript,
.dhall,Dhall,
.diff,Diff,diff
.patch,Diff,diff
.x,DirectX 3D File,
.dockerfile,Dockerfile,dockerfile
.containerfile,Dockerfile,dockerfile
.djs,Dogescript,
.env,Dotenv,
.dylan,Dylan,
.dyl,Dylan,
.intr,Dylan,
.lid,Dylan,
.e,E,
.eml,E-mail,
.mbox,E-mail,
.ebnf,EBNF,
.ecl,ECL,
.eclxml,ECL,
.ecl,ECLiPSe,
.ejs,EJS,
.ect,EJS,
.ejs.t,EJS,
.jst,EJS,
.eq,EQ,
.sch,Eagle,
.brd,Eagle,
.eb,Easybuild,
.epj,Ecere Projects,
.html,Ecmarkup,
.edge,Edge,
.edgeql,EdgeQL,
.esdl,EdgeQL,
.editorconfig,EditorConfig,
.edc,Edje Data Collection,
.e,Eiffel,
.ex,Elixir,
.exs,Elixir,
.elm,Elm,
.elv,Elvish,
.el,Emacs Lisp,
.emacs,Emacs Lisp,
.emacs.desktop,Emacs Lisp,
.em,EmberScript,
.emberscript,EmberScript,
.erl,Erlang,erlang
.app,Erlang,erlang
.app.src,Erlang,erlang
.es,Erlang,erlang
.escript,Erlang,erlang
.hrl,Erlang,erlang
.xrl,Erlang,erlang
.yrl,Erlang,erlang
.e,Euphoria,
.ex,Euphoria,
.fs,F#,fsharp
.fsi,F#,fsharp
.fsx,F#,fsharp
.fst,F*,
.fsti,F*,
.flf,FIGlet Font,
.fir,FIRRTL,
.fx,FLUX,
.flux,FLUX,
.factor,Factor,
.fy,Fancy,
.fancypack,Fancy,
.fan,Fantom,
.dsp,Faust,
.fnl,Fennel,
.f,Filebench WML,
.fs,Filterscript,
.flix,Flix,
.ftl,Fluent,
.for,Formatted,
.eam.fs,Formatted,
.fth,Forth,
.4th,Forth,
.f,Forth,
.for,Forth,
.forth,Forth,
.fr,Forth,
.frt,Forth,
.fs,Forth,
.f,Fortran,
.f77,Fortran,
.for,Fortran,
.fpp,Fortran,
.f90,Fortran Free Form,
.f03,Fortran Free Form,
.f08,Fortran Free Form,
.f95,Fortran Free Form,
.bi,FreeBASIC,
.bas,FreeBASIC,
.ftl,FreeMarker,
.ftlh,FreeMarker,
.fr,Frege,
.fut,Futhark,
.g,G-code,
.cnc,G-code,
.gco,G-code,
.gcode,G-code,
.gaml,GAML,
.gms,GAMS,
.g,GAP,
.gap,GAP,
.gd,GAP,
.gi,GAP,
.tst,GAP,
.md,GCC Machine Description,
.gdb,GDB,
.gdbinit,GDB,
.gd,GDScript,
.gdshader,GDShader,
.gdshaderinc,GDShader,
.ged,GEDCOM,
.glsl,GLSL,
.fp,GLSL,
.frag,GLSL,
.frg,GLSL,
.fs,GLSL,
.fsh,GLSL,
.fshader,GLSL,
.geo,GLSL,
.geom,GLSL,
.glslf,GLSL,
.glslv,GLSL,
.gs,GLSL,
.gshader,GLSL,
.rchit,GLSL,
.rmiss,GLSL,
.shader,GLSL,
.tesc,GLSL,
.tese,GLSL,
.vert,GLSL,
.vrx,GLSL,
.vs,GLSL,
.vsh,GLSL,
.vshader,GLSL,
.gn,GN,
.gni,GN,
.gsc,GSC,
.csc,GSC,
.gsh,GSC,
.gml,Game Maker Language,
.gmi,Gemini,
.4gl,Genero 4gl,
.per,Genero per,
.gs,Genie,
.kid,Genshi,
.ebuild,Gentoo Ebuild,
.eclass,Gentoo Eclass,
.gbr,Gerber Image,
.cmp,Gerber Image,
.gbl,Gerber Image,
.gbo,Gerber Image,
.gbp,Gerber Image,
.gbs,Gerber Image,
.gko,Gerber Image,
.gml,Gerber Image,
.gpb,Gerber Image,
.gpt,Gerber Image,
.gtl,Gerber Image,
.gto,Gerber Image,
.gtp,Gerber Image,
.gts,Gerber Image,
.ncl,Gerber Image,
.sol,Gerber Image,
.po,Gettext Catalog,
.pot,Gettext Catalog,
.feature,Gherkin,
.story,Gherkin,
.gitconfig,Git Config,
.gleam,Gleam,
.gjs,Glimmer JS,
.gts,Glimmer TS,
.glf,Glyph,
.bdf,Glyph Bitmap Distribution Format,
.gp,Gnuplot,
.gnu,Gnuplot,
.gnuplot,Gnuplot,
.p,Gnuplot,
.plot,Gnuplot,
.plt,Gnuplot,
.go,Go,go
.gdnlib,Godot Resource,
.gdns,Godot Resource,
.tres,Godot Resource,
.tscn,Godot Resource,
.golo,Golo,
.gs,Gosu,
.gst,Gosu,
.gsx,Gosu,
.vark,Gosu,
.grace,Grace,
.gradle,Gradle,
.gradle.kts,Gradle Kotlin DSL,
.gf,Grammatical Framework,
.gml,Graph Modeling Language,
.graphql,GraphQL,
.gql,GraphQL,
.graphqls,GraphQL,
.dot,Graphviz (DOT),
.gv,Graphviz (DOT),
.groovy,Groovy,groovy
.grt,Groovy,groovy
.gtpl,Groovy,groovy
.gvy,Groovy,groovy
.gsp,Groovy Server Pages,
.cfg,HAProxy,
.hcl,HCL,
.nomad,HCL,
.tf,HCL,
.tfvars,HCL,
.workflow,HCL,
.hip,HIP,
.hlsl,HLSL,
.cginc,HLSL,
.fx,HLSL,
.fxh,HLSL,
.hlsli,HLSL,
.hocon,HOCON,
.html,HTML,html
.hta,HTML,html
.htm,HTML,html
.html.hl,HTML,html
.inc,HTML,html
.xht,HTML,html
.xhtml,HTML,html
.ecr,HTML+ECR,
.html.eex,HTML+EEX,
.heex,HTML+EEX,
.leex,HTML+EEX,
.erb,HTML+ERB,
.erb.deface,HTML+ERB,
.rhtml,HTML+ERB,
.phtml,HTML+PHP,
.cshtml,HTML+Razor,razor
.razor,HTML+Razor,razor
.http,HTTP,
.hxml,HXML,
.hack,Hack,
.hh,Hack,
.hhi,Hack,
.php,Hack,
.haml,Haml,haml
.haml.deface,Haml,haml
.handlebars,Handlebars,handlebars
.hbs,Handlebars,handlebars
.hb,Harbour,
.ha,Hare,
.hs,Haskell,haskell
.hs-boot,Haskell,haskell
.hsc,Haskell,haskell
.hx,Haxe,
.hxsl,Haxe,
.q,HiveQL,
.hql,HiveQL,
.hc,HolyC,
.hy,Hy,
.bf,HyPhy,
.pro,IDL,
.dlm,IDL,
.ipf,IGOR Pro,
.ini,INI,ini
.cfg,INI,ini
.cnf,INI,ini
.dof,INI,ini
.frm,INI,ini
.lektorproject,INI,ini
.prefs,INI,ini
.pro,INI,ini
.properties,INI,ini
.url,INI,ini
.irclog,IRC log,
.weechatlog,IRC log,
.ispc,ISPC,
.idr,Idris,
.lidr,Idris,
.gitignore,Ignore List,
.ijm,ImageJ Macro,
.imba,Imba,
.ni,Inform 7,
.i7x,Inform 7,
.ink,Ink,
.iss,Inno Setup,
.isl,Inno Setup,
.io,Io,
.ik,Ioke,
.thy,Isabelle,
.ijs,J,
.jcl,JCL,
.flex,JFlex,
.jflex,JFlex,
.json,JSON,json
.4DForm,JSON,json
.4DProject,JSON,json
.avsc,JSON,json
.geojson,JSON,json
.gltf,JSON,json
.har,JSON,json
.ice,JSON,json
.JSON-tmLanguage,JSON,json
.json.example,JSON,json
.jsonl,JSON,json
.mcmeta,JSON,json
.sarif,JSON,json
.tact,JSON,json
.tfstate,JSON,json
.tfstate.backup,JSON,json
.topojson,JSON,json
.webapp,JSON,json
.webmanifest,JSON,json
.yy,JSON,json
.yyp,JSON,json
.jsonc,JSON with Comments,jsonc
.code-snippets,JSON with Comments,jsonc
.code-workspace,JSON with Comments,jsonc
.sublime-build,JSON with Comments,jsonc
.sublime-color-scheme,JSON with Comments,jsonc
.sublime-commands,JSON with Comments,jsonc
.sublime-completions,JSON with Comments,jsonc
.sublime-keymap,JSON with Comments,jsonc
.sublime-macro,JSON with Comments,jsonc
.sublime-menu,JSON with Comments,jsonc
.sublime-mousemap,JSON with Comments,jsonc
.sublime-project,JSON with Comments,jsonc
.sublime-settings,JSON with Comments,jsonc
.sublime-theme,JSON with Comments,jsonc
.sublime-workspace,JSON with Comments,jsonc
.sublime_metrics,JSON with Comments,jsonc
.sublime_session,JSON with Comments,jsonc
.json5,JSON5,
.jsonld,JSONLD,
.jq,JSONiq,
.jai,Jai,
.janet,Janet,
.j,Jasmin,
.java,Java,java
.jav,Java,java
.jsh,Java,java
.properties,Java Properties,
.jsp,Java Server Pages,
.tag,Java Server Pages,
.jte,Java Template Engine,
.js,JavaScript,javascript
._js,JavaScript,javascript
.bones,JavaScript,javascript
.cjs,JavaScript,javascript
.es,JavaScript,javascript
.es6,JavaScript,javascript
.frag,JavaScript,javascript
.gs,JavaScript,javascript
.jake,JavaScript,javascript
.javascript,JavaScript,javascript
.jsb,JavaScript,javascript
.jscad,JavaScript,javascript
.jsfl,JavaScript,javascript
.jslib,JavaScript,javascript
.jsm,JavaScript,javascript
.jspre,JavaScript,javascript
.jss,JavaScript,javascript
.jsx,JavaScript,javascript
.mjs,JavaScript,javascript
.njs,JavaScript,javascript
.pac,JavaScript,javascript
.sjs,JavaScript,javascript
.ssjs,JavaScript,javascript
.xsjs,JavaScript,javascript
.xsjslib,JavaScript,javascript
.js.erb,JavaScript+ERB,
.snap,Jest Snapshot,
.mps,JetBrains MPS,
.mpl,JetBrains MPS,
.msd,JetBrains MPS,
.jinja,Jinja,
.j2,Jinja,
.jinja2,Jinja,
.jison,Jison,
.jisonlex,Jison Lex,
.ol,Jolie,
.iol,Jolie,
.jsonnet,Jsonnet,
.libsonnet,Jsonnet,
.jl,Julia,julia
.ipynb,Jupyter Notebook,
.just,Just,
.kdl,KDL,
.krl,KRL,
.ksy,Kaitai Struct,
.kak,KakouneScript,
.ks,KerboScript,
.kicad_pcb,KiCad Layout,
.kicad_mod,KiCad Layout,
.kicad_wks,KiCad Layout,
.brd,KiCad Legacy Layout,
.kicad_sch,KiCad Schematic,
.kicad_sym,KiCad Schematic,
.sch,KiCad Schematic,
.ks,Kickstart,
.kit,Kit,
.ash,KoLMafia ASH,
.kk,Koka,
.kt,Kotlin,
.ktm,Kotlin,
.kts,Kotlin,
.csl,Kusto,
.kql,Kusto,
.lfe,LFE,
.ll,LLVM,
.lol,LOLCODE,
.lsl,LSL,
.lslp,LSL,
.asy,LTspice Symbol,
.lvproj,LabVIEW,
.lvclass,LabVIEW,
.lvlib,LabVIEW,
.lark,Lark,
.lasso,Lasso,
.las,Lasso,
.lasso8,Lasso,
.lasso9,Lasso,
.latte,Latte,
.lean,Lean,
.hlean,Lean,
.lean,Lean 4,
.leo,Leo,
.less,Less,less
.l,Lex,
.lex,Lex,
.ligo,LigoLANG,
.ly,LilyPond,
.ily,LilyPond,
.b,Limbo,
.m,Limbo,
.lp,Linear Programming,
.ld,Linker Script,
.lds,Linker Script,
.x,Linker Script,
.mod,Linux Kernel Module,
.liquid,Liquid,
.lagda,Literate Agda,
.litcoffee,Literate CoffeeScript,
.coffee.md,Literate CoffeeScript,
.lhs,Literate Haskell,
.livecodescript,LiveCode Script,
.ls,LiveScript,
._ls,LiveScript,
.xm,Logos,
.x,Logos,
.xi,Logos,
.lgt,Logtalk,
.logtalk,Logtalk,
.lkml,LookML,
.lookml,LookML,
.ls,LoomScript,
.lua,Lua,lua
.fcgi,Lua,lua
.nse,Lua,lua
.p8,Lua,lua
.pd_lua,Lua,lua
.rbxs,Lua,lua
.rockspec,Lua,lua
.wlua,Lua,lua
.luau,Luau,
.mumps,M,
.m,M,
.m3u,M3U,
.m3u8,M3U,
.m4,M4,
.mc,M4,
.m4,M4Sugar,
.matlab,MATLAB,
.m,MATLAB,
.ms,MAXScript,
.mcr,MAXScript,
.mdx,MDX,
.mlir,MLIR,
.mq4,MQL4,
.mqh,MQL4,
.mq5,MQL5,
.mqh,MQL5,
.mtml,MTML,
.muf,MUF,
.m,MUF,
.m2,Macaulay2,
.mak,Makefile,makefile
.d,Makefile,makefile
.make,Makefile,makefile
.makefile,Makefile,makefile
.mk,Makefile,makefile
.mkfile,Makefile,makefile
.mako,Mako,
.mao,Mako,
.md,Markdown,markdown
.livemd,Markdown,markdown
.markdown,Markdown,markdown
.mdown,Markdown,markdown
.mdwn,Markdown,markdown
.mkd,Markdown,markdown
.mkdn,Markdown,markdown
.mkdown,Markdown,markdown
.ronn,Markdown,markdown
.scd,Markdown,markdown
.workbook,Markdown,markdown
.marko,Marko,
.mask,Mask,
.mathematica,Mathematica,
.cdf,Mathematica,
.m,Mathematica,
.ma,Mathematica,
.mt,Mathematica,
.nb,Mathematica,
.nbp,Mathematica,
.wl,Mathematica,
.wlt,Mathematica,
.maxpat,Max,
.maxhelp,Max,
.maxproj,Max,
.mxt,Max,
.pat,Max,
.m,Mercury,
.moo,Mercury,
.mmd,Mermaid,
.mermaid,Mermaid,
.metal,Metal,
.dsp,Microsoft Developer Studio Project,
.sln,Microsoft Visual Studio Solution,
.minid,MiniD,
.yaml,MiniYAML,
.yml,MiniYAML,
.mzn,MiniZinc,
.dzn,MiniZinc Data,
.mint,Mint,
.druby,Mirah,
.duby,Mirah,
.mirah,Mirah,
.mo,Modelica,
.mod,Modula-2,
.i3,Modula-3,
.ig,Modula-3,
.m3,Modula-3,
.mg,Modula-3,
.mms,Module Management System,
.mmk,Module Management System,
.mojo,Mojo,
.monkey,Monkey,
.monkey2,Monkey,
.mc,Monkey C,
.moo,Moocode,
.mbt,MoonBit,
.moon,MoonScript,
.mo,Motoko,
.asm,Motorola 68K Assembly,
.i,Motorola 68K Assembly,
.inc,Motorola 68K Assembly,
.s,Motorola 68K Assembly,
.x68,Motorola 68K Assembly,
.move,Move,
.muse,Muse,
.mustache,Mustache,
.myt,Myghty,
.nasl,NASL,
.inc,NASL,
.ncl,NCL,
.neon,NEON,
.nl,NL,
.mod,NMODL,
.nsi,NSIS,
.nsh,NSIS,
.nss,NWScript,
.nas,Nasal,
.ne,Nearley,
.nearley,Nearley,
.n,Nemerle,
.axs,NetLinx,
.axi,NetLinx,
.axs.erb,NetLinx+ERB,
.axi.erb,NetLinx+ERB,
.nlogo,NetLogo,
.nl,NewLisp,
.lisp,NewLisp,
.lsp,NewLisp,
.nf,Nextflow,
.nginx,Nginx,
.nginxconf,Nginx,
.vhost,Nginx,
.ncl,Nickel,
.nim,Nim,
.nim.cfg,Nim,
.nimble,Nim,
.nimrod,Nim,
.nims,Nim,
.ninja,Ninja,
.nit,Nit,
.nix,Nix,
.nr,Noir,
.nu,Nu,
.numpy,NumPy,
.numpyw,NumPy,
.numsc,NumPy,
.njk,Nunjucks,
.nu,Nushell,
.json,OASv2-json,
.yaml,OASv2-yaml,
.yml,OASv2-yaml,
.json,OASv3-json,
.yaml,OASv3-yaml,
.yml,OASv3-yaml,
.ml,OCaml,ocaml
.eliom,OCaml,ocaml
.eliomi,OCaml,ocaml
.ml4,OCaml,ocaml
.mli,OCaml,ocaml
.mll,OCaml,ocaml
.mly,OCaml,ocaml
.msg,OMNeT++ MSG,
.ned,OMNeT++ NED,
.ob2,Oberon,
.objdump,ObjDump,
.odin,Object Data Instance Notation,
.cls,ObjectScript,
.m,Objective-C,objective-c
.h,Objective-C,objective-c
.mm,Objective-C++,objective-cpp
.j,Objective-J,
.sj,Objective-J,
.odin,Odin,
.omgrofl,Omgrofl,
.opa,Opa,
.opal,Opal,
.rego,Open Policy Agent,
.cl,OpenCL,
.opencl,OpenCL,
.p,OpenEdge ABL,
.cls,OpenEdge ABL,
.w,OpenEdge ABL,
.qasm,OpenQASM,
.scad,OpenSCAD,
.plist,OpenStep Property List,
.glyphs,OpenStep Property List,
.fea,OpenType Feature File,
.org,Org,
.overpassql,OverpassQL,
.ox,Ox,
.oxh,Ox,
.oxo,Ox,
.oxygene,Oxygene,
.oz,Oz,
.p4,P4,
.pddl,PDDL,
.pegjs,PEG.js,
.peggy,PEG.js,
.php,PHP,php
.aw,PHP,php
.ctp,PHP,php
.fcgi,PHP,php
.inc,PHP,php
.php3,PHP,php
.php4,PHP,php
.php5,PHP,php
.phps,PHP,php
.phpt,PHP,php
.pls,PLSQL,
.bdy,PLSQL,
.ddl,PLSQL,
.fnc,PLSQL,
.pck,PLSQL,
.pkb,PLSQL,
.pks,PLSQL,
.plb,PLSQL,
.plsql,PLSQL,
.prc,PLSQL,
.spc,PLSQL,
.sql,PLSQL,
.tpb,PLSQL,
.tps,PLSQL,
.trg,PLSQL,
.vw,PLSQL,
.pgsql,PLpgSQL,
.sql,PLpgSQL,
.pov,POV-Ray SDL,
.inc,POV-Ray SDL,
.pact,Pact,
.pan,Pan,
.psc,Papyrus,
.parrot,Parrot,
.pasm,Parrot Assembly,
.pir,Parrot Internal Representation,
.pas,Pascal,pascal
.dfm,Pascal,pascal
.dpr,Pascal,pascal
.inc,Pascal,pascal
.lpr,Pascal,pascal
.pascal,Pascal,pascal
.pp,Pascal,pascal
.pwn,Pawn,
.inc,Pawn,
.sma,Pawn,
.pep,Pep8,
.pl,Perl,perl
.al,Perl,perl
.cgi,Perl,perl
.fcgi,Perl,perl
.perl,Perl,perl
.ph,Perl,perl
.plx,Perl,perl
.pm,Perl,perl
.psgi,Perl,perl
.t,Perl,perl
.pic,Pic,
.chem,Pic,
.pkl,Pickle,
.l,PicoLisp,
.pig,PigLatin,
.pike,Pike,
.pmod,Pike,
.pkl,Pkl,
.puml,PlantUML,
.iuml,PlantUML,
.plantuml,PlantUML,
.pod,Pod,
.pod,Pod 6,
.pod6,Pod 6,
.pogo,PogoScript,
.polar,Polar,
.pony,Pony,
.por,Portugol,
.pcss,PostCSS,
.postcss,PostCSS,
.ps,PostScript,
.eps,PostScript,
.epsi,PostScript,
.pfa,PostScript,
.pbt,PowerBuilder,
.sra,PowerBuilder,
.sru,PowerBuilder,
.srw,PowerBuilder,
.ps1,PowerShell,powershell
.psd1,PowerShell,powershell
.psm1,PowerShell,powershell
.praat,Praat,
.prisma,Prisma,
.pde,Processing,
.pro,Proguard,
.pl,Prolog,
.plt,Prolog,
.pro,Prolog,
.prolog,Prolog,
.yap,Prolog,
.pml,Promela,
.spin,Propeller Spin,
.proto,Protocol Buffer,
.textproto,Protocol Buffer Text Format,
.pbt,Protocol Buffer Text Format,
.pbtxt,Protocol Buffer Text Format,
.asc,Public Key,
.pub,Public Key,
.jade,Pug,pug
.pug,Pug,pug
.pp,Puppet,
.pd,Pure Data,
.pb,PureBasic,
.pbi,PureBasic,
.purs,PureScript,
.arr,Pyret,
.py,Python,python
.cgi,Python,python
.fcgi,Python,python
.gyp,Python,python
.gypi,Python,python
.lmi,Python,python
.py3,Python,python
.pyde,Python,python
.pyi,Python,python
.pyp,Python,python
.pyt,Python,python
.pyw,Python,python
.rpy,Python,python
.spec,Python,python
.tac,Python,python
.wsgi,Python,python
.xpy,Python,python
.pytb,Python traceback,
.qs,Q#,
.qml,QML,
.qbs,QML,
.pro,QMake,
.pri,QMake,
.qs,Qt Script,
.qc,QuakeC,
.bas,QuickBASIC,
.r,R,r
.rd,R,r
.rsx,R,r
.raml,RAML,
.rbs,RBS,
.rdoc,RDoc,
.rbbas,REALbasic,
.rbfrm,REALbasic,
.rbmnu,REALbasic,
.rbres,REALbasic,
.rbtbar,REALbasic,
.rbuistate,REALbasic,
.rexx,REXX,
.pprx,REXX,
.rex,REXX,
.qmd,RMarkdown,
.rmd,RMarkdown,
.ron,RON,
.msg,ROS Interface,
.action,ROS Interface,
.srv,ROS Interface,
.x,RPC,
.rpgle,RPGLE,
.sqlrpgle,RPGLE,
.spec,RPM Spec,
.rnh,RUNOFF,
.rno,RUNOFF,
.rkt,Racket,
.rktd,Racket,
.rktl,Racket,
.scrbl,Racket,
.rl,Ragel,
.6pl,Raku,
.6pm,Raku,
.nqp,Raku,
.p6,Raku,
.p6l,Raku,
.p6m,Raku,
.pl,Raku,
.pl6,Raku,
.pm,Raku,
.pm6,Raku,
.raku,Raku,
.rakumod,Raku,
.t,Raku,
.rsc,Rascal,
.raw,Raw token data,
.res,ReScript,
.resi,ReScript,
.re,Reason,
.rei,Reason,
.religo,ReasonLIGO,
.reb,Rebol,
.r,Rebol,
.r2,Rebol,
.r3,Rebol,
.rebol,Rebol,
.red,Red,
.reds,Red,
.cw,Redcode,
.regexp,Regular Expression,
.regex,Regular Expression,
.rpy,Ren'Py,
.rs,RenderScript,
.rsh,RenderScript,
.r,Rez,
.rtf,Rich Text Format,
.ring,Ring,
.riot,Riot,
.robot,RobotFramework,
.resource,RobotFramework,
.roc,Roc,
.v,Rocq Prover,
.coq,Rocq Prover,
.roff,Roff,
.1,Roff,
.1in,Roff,
.1m,Roff,
.1x,Roff,
.2,Roff,
.3,Roff,
.3in,Roff,
.3m,Roff,
.3p,Roff,
.3pm,Roff,
.3qt,Roff,
.3x,Roff,
.4,Roff,
.5,Roff,
.6,Roff,
.7,Roff,
.8,Roff,
.9,Roff,
.l,Roff,
.man,Roff,
.mdoc,Roff,
.me,Roff,
.ms,Roff,
.n,Roff,
.nr,Roff,
.rno,Roff,
.tmac,Roff,
.1,Roff Manpage,
.1in,Roff Manpage,
.1m,Roff Manpage,
.1x,Roff Manpage,
.2,Roff Manpage,
.3,Roff Manpage,
.3in,Roff Manpage,
.3m,Roff Manpage,
.3p,Roff Manpage,
.3pm,Roff Manpage,
.3qt,Roff Manpage,
.3x,Roff Manpage,
.4,Roff Manpage,
.5,Roff Manpage,
.6,Roff Manpage,
.7,Roff Manpage,
.8,Roff Manpage,
.9,Roff Manpage,
.man,Roff Manpage,
.mdoc,Roff Manpage,
.rg,Rouge,
.rsc,RouterOS Script,
.rb,Ruby,ruby
.builder,Ruby,ruby
.eye,Ruby,ruby
.fcgi,Ruby,ruby
.gemspec,Ruby,ruby
